Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-February-2021,420.00,426.00,414.25,415.50,419.248519357775066333,258165,4176,108235294.00,48739,18.88,11.75,-4.50
22-February-2021,430.20,432.65,416.15,418.70,423.016132750129309375,355736,5245,150482067.00,95761,26.92,16.50,-11.50
19-February-2021,432.35,435.60,426.15,429.90,431.252858620180233417,439985,8799,189744789.00,118241,26.87,9.45,-2.45
18-February-2021,431.00,436.50,429.35,433.00,432.736357592565948431,403118,7460,174443815.00,115288,28.60,7.15,2.00
17-February-2021,437.50,438.90,429.00,430.30,432.415519009169608631,343308,4606,148451707.00,126092,36.73,9.90,-7.20
16-February-2021,447.00,447.65,433.80,437.35,440.947795653820858964,430309,4831,189743805.00,75163,17.47,13.85,-9.65
15-February-2021,445.00,445.00,436.95,439.70,440.505634154822445342,184056,3157,81077705.00,38135,20.72,8.05,-5.30
12-February-2021,443.70,449.25,439.80,441.95,444.492783889419157963,574132,6947,255197531.00,55833,9.72,9.45,-1.75
11-February-2021,439.95,440.65,433.45,436.10,435.837171635517987739,341427,5049,148806578.00,171022,50.09,7.20,-3.85
10-February-2021,443.00,444.15,434.90,439.00,438.064698010571554127,402779,4883,176443261.00,113610,28.21,9.25,-4.00
9-February-2021,440.00,451.50,435.25,438.95,445.449419394899729712,963047,12084,428988727.00,156116,16.21,16.25,-1.05
8-February-2021,430.00,437.50,426.55,435.25,431.513917175831636116,690837,11331,298105780.00,216031,31.27,10.95,5.25
5-February-2021,431.00,435.00,420.50,425.60,424.848603350160181742,311209,5394,132216709.00,106825,34.33,14.50,-5.40
4-February-2021,433.50,436.65,428.15,429.90,432.146165556168517223,813899,4474,351723332.00,602528,74.03,8.50,-3.60
3-February-2021,430.00,439.85,430.00,433.45,436.821088321673312480,586334,7208,256123056.00,275875,47.05,9.85,3.45
2-February-2021,428.00,435.65,423.90,428.15,427.335296484697916712,914516,9507,390804966.00,593114,64.86,11.75,0.15
1-February-2021,416.70,423.75,408.35,421.25,415.309177717098055887,672749,19068,279398834.00,139786,20.78,15.40,4.55
29-January-2021,438.20,438.20,415.70,418.05,426.934232268568667724,453277,6981,193519468.00,71362,15.74,22.50,-20.15
28-January-2021,442.50,448.20,427.40,431.75,439.923154817055519864,929271,8710,408807830.00,524070,56.40,20.80,-10.75
27-January-2021,439.00,454.80,437.30,446.25,448.872168311003828686,740724,11418,332490388.00,115878,15.64,17.50,7.25
25-January-2021,445.40,450.60,435.25,437.25,441.422921904614551502,517060,12295,228242136.00,155520,30.08,15.35,-8.15
22-January-2021,447.05,452.00,440.30,445.20,445.344065600606518947,530239,13032,236138792.00,203996,38.47,11.70,-1.85
21-January-2021,451.80,453.35,442.20,445.90,448.033874038759575504,880763,15064,394611659.00,270373,30.70,11.15,-5.90
20-January-2021,433.90,447.40,433.50,444.95,444.386922787973088395,1759687,21302,781981891.00,481846,27.38,13.90,11.05
19-January-2021,432.90,439.60,427.75,430.30,432.534120814056972219,679805,14384,294038858.00,145490,21.40,11.85,-2.60
18-January-2021,440.20,444.90,429.00,431.55,438.786222968564705764,798561,12221,350397565.00,95206,11.92,15.90,-8.65
15-January-2021,453.00,459.50,436.25,438.40,446.424648251289702628,1367951,27585,610687044.00,289258,21.15,23.25,-14.60
14-January-2021,452.80,466.00,431.00,454.45,451.523022975989916588,2500741,30717,1129142136.00,711024,28.43,35.00,1.65
13-January-2021,463.90,467.20,453.10,458.75,460.611375780429643653,1546584,27574,712374184.00,393902,25.47,14.10,-5.15
12-January-2021,448.45,460.90,442.25,457.70,451.451652374725159827,1319858,21705,595852075.00,352383,26.70,18.65,9.25
11-January-2021,439.80,450.80,435.10,446.80,444.197462032432774839,2020672,23104,897577374.00,692883,34.29,15.70,7.00
8-January-2021,407.95,432.60,407.55,430.15,420.582973965131657220,3479718,31999,1463510145.00,2054908,59.05,25.05,22.20
7-January-2021,410.00,412.90,404.00,406.75,406.792508434345454787,599928,11451,244046216.00,212145,35.36,8.90,-3.25
6-January-2021,406.15,417.30,403.50,406.55,410.172197236003801745,879596,11810,360785824.00,222770,25.33,13.80,0.40
5-January-2021,395.50,409.60,393.50,406.15,402.872077939320863382,1016791,12449,409636703.00,386697,38.03,16.10,10.65
4-January-2021,390.00,397.95,387.75,396.30,394.351471851914209609,629581,9288,248276194.00,234787,37.29,10.20,6.30
1-January-2021,385.85,390.40,384.95,387.95,388.038362357307783604,370728,6330,143856686.00,152934,41.25,5.45,2.10
31-December-2020,382.90,387.35,382.10,386.25,385.055784010935184492,521619,6121,200852413.00,140671,26.97,5.25,3.35
30-December-2020,387.50,387.50,382.80,384.40,384.903708340367173949,669383,4206,257647999.00,137194,20.50,4.70,-3.10
29-December-2020,384.75,390.40,383.25,384.95,387.730726922775026836,904539,7309,350717564.00,117463,12.99,7.15,0.20
28-December-2020,383.30,386.30,382.00,382.85,384.133820163487738419,412875,8266,158599251.00,163502,39.60,4.30,-0.45
24-December-2020,387.35,387.35,378.75,382.20,382.866953566724032804,480539,7698,183982503.00,98634,20.53,8.60,-5.15
23-December-2020,374.15,387.60,370.25,385.40,379.854735906907648616,1105311,27533,419857618.00,306792,27.76,17.35,11.25
22-December-2020,352.30,365.85,349.35,364.00,356.382175459814851746,621772,12615,221588458.00,264152,42.48,16.50,11.70
21-December-2020,362.50,367.40,348.30,354.70,360.181315584337710619,416925,5398,150168595.00,90228,21.64,19.10,-7.80
18-December-2020,359.65,365.60,357.70,363.50,362.713030542853792941,409392,5689,148491813.00,92063,22.49,7.90,3.85
17-December-2020,358.30,359.20,355.75,356.75,357.382004359845985517,119729,2041,42788990.00,32289,26.97,3.45,-1.55
16-December-2020,354.05,358.85,353.25,358.30,356.512046759313708060,365617,9441,130346865.00,215503,58.94,5.60,4.25
15-December-2020,349.90,353.95,347.65,352.95,351.924006421381464769,230480,4125,81111445.00,65287,28.33,6.30,3.05
14-December-2020,353.00,354.55,347.10,349.30,349.513347496767042305,259824,4185,90811956.00,82115,31.60,7.45,-3.70
11-December-2020,357.10,359.95,352.60,353.45,355.946280875088214537,283400,6724,100875176.00,95893,33.84,7.35,-3.65
10-December-2020,356.75,358.00,352.70,356.00,355.882561928365644696,397435,9254,141440186.00,117917,29.67,5.30,-0.75
9-December-2020,367.00,367.75,357.75,359.65,362.083936372517182440,748293,9707,270944875.00,288202,38.51,10.00,-7.35
8-December-2020,360.00,364.95,358.55,363.65,361.649420415988698427,792810,13080,286719277.00,365276,46.07,6.40,3.65
7-December-2020,362.80,362.80,357.75,358.55,359.102859326335217441,277408,5456,99618006.00,154565,55.72,5.05,-4.25
4-December-2020,360.35,362.35,359.00,360.75,360.590769471563007454,255565,3806,92154380.00,93703,36.66,3.35,0.40
3-December-2020,364.65,364.65,357.90,360.15,360.386915665847749976,934568,9164,336806079.00,640935,68.58,6.75,-4.50
